azi,aoi,wvl,pitch,mm,dmm,reflected flux
0,60,4700,7560,"[[0.8416186520931641, -0.1175228876031899, 0.01046837771067457, -0.002268664868073859], [-0.1175204023619005, 0.8411966297202026, 0.000745200460570996, 0.02437852463325543], [-0.0104581852239914, -0.0007437652017973587, -0.8271817413397741, 0.10136458905332], [-0.002438088039155625, 0.02439054611184992, -0.1013656306181313, -0.8267597275698583]]","[[ 1.00000000e+00 -1.39639120e-01  1.24383861e-02 -2.69559718e-03]
 [-1.39636167e-01  9.99498559e-01  8.85437197e-04  2.89662362e-02]
 [-1.24262755e-02 -8.83731842e-04 -9.82846256e-01  1.20440046e-01]
 [-2.89690352e-03  2.89805199e-02 -1.20441283e-01 -9.82344825e-01]]","[0.9591415391742002, 0.7240957640957785]"
0,60,4770,7560,"[[0.9184646836216568, -0.04276296153754827, -0.003104152547808974, 0.001200261195335279], [-0.04276441933346103, 0.9181374094524395, -0.004304458280829357, -0.02390799771187781], [0.00311313419294303, 0.004538647148400216, -0.8546052747310314, 0.3337312458839522], [0.001122543543722999, -0.0238620350405954, -0.3337342649393946, -0.8542780177342045]]","[[ 1.         -0.04655918 -0.00337972  0.00130681]
 [-0.04656077  0.99964367 -0.00468658 -0.02603039]
 [ 0.0033895   0.00494156 -0.93047157  0.36335773]
 [ 0.0012222  -0.02598035 -0.36336102 -0.93011526]]","[0.9612276446359163, 0.8757017216073802]"
0,60,4840,7560,"[[0.9205418077352112, -0.04164617268346049, -0.004108357597634614, 0.000994189398592216], [-0.0416471716931256, 0.9204320036552779, -0.001915973330239703, -0.01344216046194201], [0.004116506447368686, 0.002095418220440751, -0.8755999017178008, 0.281037926326875], [0.0009155209025569697, -0.01341225720422045, -0.2810390877345093, -0.8754901083250942]]","[[ 1.00000000e+00 -4.52409356e-02 -4.46297774e-03  1.08000461e-03]
 [-4.52420209e-02  9.99880718e-01 -2.08135395e-03 -1.46024443e-02]
 [ 4.47182997e-03  2.27628795e-03 -9.51178854e-01  3.05296211e-01]
 [ 9.94545707e-04 -1.45699599e-02 -3.05297473e-01 -9.51059584e-01]]","[0.9621879798948602, 0.8788956345732839]"
0,60,4910,7560,"[[0.9205379530571987, -0.04237255216422964, -0.004193548198873598, 0.0008806030866103905], [-0.04237336089493604, 0.9204725540851042, -0.001266836925221748, -0.01002509587569491], [0.004201199809059211, 0.001425862199221697, -0.881999954013437, 0.2601307875870404], [0.0008016806313274451, -0.01000029016972368, -0.2601314871839444, -0.8819345637842751]]","[[ 1.00000000e+00 -4.60302066e-02 -4.55554080e-03  9.56617903e-04]
 [-4.60310851e-02  9.99928956e-01 -1.37619195e-03 -1.08904753e-02]
 [ 4.56385290e-03  1.54894450e-03 -9.58135350e-01  2.82585619e-01]
 [ 8.70882758e-04 -1.08635284e-02 -2.82586379e-01 -9.58064315e-01]]","[0.962910504697223, 0.8781654004148989]"
0,60,4980,7560,"[[0.9204497141903825, -0.04308929542011125, -0.0041896967096682, 0.0008105911800327329], [-0.04308999588782764, 0.920402088905633, -0.0009587626383389541, -0.00828260917454489], [0.004196931428907133, 0.001105674913851969, -0.8855815043701806, 0.2472136104477796], [0.0007321320576397644, -0.008260626956135305, -0.2472141011490748, -0.885533886765194]]","[[ 1.00000000e+00 -4.68133074e-02 -4.55179316e-03  8.80646892e-04]
 [-4.68140684e-02  9.99948259e-01 -1.04162414e-03 -8.99843745e-03]
 [ 4.55965314e-03  1.20123337e-03 -9.62118289e-01  2.68579159e-01]
 [ 7.95406904e-04 -8.97455540e-03 -2.68579692e-01 -9.62066556e-01]]","[0.9635390090859469, 0.8773604182926403]"
0,60,5050,7560,"[[0.9203335208303507, -0.04375855699958181, -0.00418074795613553, 0.0007630205000288075], [-0.04375918568837195, 0.9202951521961302, -0.0007762723559788188, -0.007212071629413732], [0.004187596374148006, 0.0009144961882565051, -0.8880332321918316, 0.2376859179307656], [0.0006854698677933478, -0.007192026922665836, -0.2376862889970271, -0.8879948705032326]]","[[ 1.00000000e+00 -4.75464123e-02 -4.54264445e-03  8.29069552e-04]
 [-4.75470954e-02  9.99958310e-01 -8.43468524e-04 -7.83636743e-03]
 [ 4.55008568e-03  9.93657373e-04 -9.64903714e-01  2.58260633e-01]
 [ 7.44805934e-04 -7.81458760e-03 -2.58261036e-01 -9.64862031e-01]]","[0.9640920773050846, 0.8765749633535654]"
0,60,5120,7560,"[[0.9201978970452792, -0.04439547937649124, -0.004185648317738007, 0.0007291663635536835], [-0.04439605630982502, 0.9201650429450111, -0.0006541555526311301, -0.006483474411482428], [0.00419212155399736, 0.00078551633817893, -0.8898893707209868, 0.2299761390385365], [0.0006528594836052374, -0.006464912777226075, -0.2299764322973532, -0.8898565229957746]]","[[ 1.00000000e+00 -4.82455780e-02 -4.54863930e-03  7.92401684e-04]
 [-4.82462049e-02  9.99964297e-01 -7.10885729e-04 -7.04573922e-03]
 [ 4.55567391e-03  8.53638484e-04 -9.67063035e-01  2.49920305e-01]
 [ 7.09477261e-04 -7.02556787e-03 -2.49920624e-01 -9.67027338e-01]]","[0.9645933758966492, 0.8758024171920047]"
0,60,5190,7560,"[[0.9200118820748272, -0.04503390381477368, -0.004210993502344733, 0.000704942374154928], [-0.04503444165559189, 0.9199825435139477, -0.0005659088622411448, -0.005956640667160784], [0.004217089832134899, 0.0006915589172441332, -0.891345656905214, 0.2233736930911262], [0.0006301753269967944, -0.005939286548854093, -0.2233739317505263, -0.8913163242455421]]","[[ 1.00000000e+00 -4.89492633e-02 -4.57710774e-03  7.66231815e-04]
 [-4.89498479e-02  9.99968111e-01 -6.15110384e-04 -6.47452580e-03]
 [ 4.58373410e-03  7.51684767e-04 -9.68841462e-01  2.42794357e-01]
 [ 6.84964335e-04 -6.45566287e-03 -2.42794616e-01 -9.68809579e-01]]","[0.9650457853642332, 0.8749779777837192]"
0,60,5260,7560,"[[0.9197420724160428, -0.04570623664229573, -0.004261567782641095, 0.0006883819658127471], [-0.04570674440751016, 0.9197150048071134, -0.0004987928002638154, -0.005563496848723945], [0.004267273837792861, 0.0006195713515702692, -0.8924859320678373, 0.2174959118990728], [0.0006154570320200275, -0.005547162017801826, -0.217496110542627, -0.8924588699509879]]","[[ 1.00000000e+00 -4.96946242e-02 -4.63343791e-03  7.48451100e-04]
 [-4.96951763e-02  9.99970570e-01 -5.42318129e-04 -6.04897505e-03]
 [ 4.63964188e-03  6.73635979e-04 -9.70365452e-01  2.36474897e-01]
 [ 6.69162639e-04 -6.03121482e-03 -2.36475113e-01 -9.70336029e-01]]","[0.9654483085327528, 0.8740358352979251]"
0,60,5330,7560,"[[0.9193469152268512, -0.04644906718612124, -0.004343520873713763, 0.0006787588352872007], [-0.04644955211667484, 0.9193212168391276, -0.0004460408650200959, -0.005269726401038953], [0.004348809361609047, 0.0005626528002302005, -0.8933380485407753, 0.2121028863584342], [0.0006080254060166408, -0.005254268858992706, -0.2121030552774192, -0.8933123552840659]]","[[ 1.00000000e+00 -5.05239822e-02 -4.72457220e-03  7.38305447e-04]
 [-5.05245097e-02  9.99972047e-01 -4.85171438e-04 -5.73203250e-03]
 [ 4.73032464e-03  6.12013584e-04 -9.71709410e-01  2.30710391e-01]
 [ 6.61366668e-04 -5.71521889e-03 -2.30710575e-01 -9.71681463e-01]]","[0.9657959818871972, 0.8728978475655278]"
0,60,5400,7560,"[[0.9187656471305565, -0.04731257518052812, -0.004466740206303048, 0.0006763654033293013], [-0.04731304396038294, 0.918740535202235, -0.0004039588851230112, -0.005061152152894436], [0.00447156328863597, 0.0005170945561545383, -0.8938881656820394, 0.2070147339776833], [0.0006082774047613416, -0.005046454055236039, -0.2070148815367544, -0.8938630585632124]]","[[ 1.00000000e+00 -5.14958034e-02 -4.86167525e-03  7.36167493e-04]
 [-5.14963137e-02  9.99972668e-01 -4.39675652e-04 -5.50864322e-03]
 [ 4.86692477e-03  5.62814421e-04 -9.72922930e-01  2.25318322e-01]
 [ 6.62059369e-04 -5.49264556e-03 -2.25318483e-01 -9.72895603e-01]]","[0.9660782217851552, 0.8714530714756131]"
0,60,5470,7560,"[[0.9178950650904917, -0.04837939580524464, -0.004648625624577567, 0.0006827753298422391], [-0.0483798557968399, 0.9178696857481158, -0.0003708815455003458, -0.00494181698429156], [0.00465289999373207, 0.000481356134438846, -0.8940713230549607, 0.2020559223136615], [0.0006179931669082969, -0.00492776785739347, -0.2020560569111394, -0.8940459482384947]]","[[ 1.00000000e+00 -5.27068917e-02 -5.06444124e-03  7.43849004e-04]
 [-5.27073929e-02  9.99972350e-01 -4.04056585e-04 -5.38385832e-03]
 [ 5.06909795e-03  5.24413032e-04 -9.74045244e-01  2.20129653e-01]
 [ 6.73272131e-04 -5.36855251e-03 -2.20129800e-01 -9.74017600e-01]]","[0.9662744603697002, 0.8695156688118861]"
0,60,5540,7560,"[[0.9165292414537983, -0.04981355834054835, -0.004922487857884754, 0.0007019284840887436], [-0.04981401965666488, 0.9165023682857447, -0.0003474152256544979, -0.004945810212356301], [0.004926057866625285, 0.0004564398559593016, -0.8937248114177088, 0.1969765352019473], [0.0006415484354843071, -0.004932285357334019, -0.1969766684172843, -0.8936979425397578]]","[[ 1.00000000e+00 -5.43502117e-02 -5.37079193e-03  7.65854980e-04]
 [-5.43507151e-02  9.99970679e-01 -3.79055255e-04 -5.39623832e-03]
 [ 5.37468707e-03  4.98009049e-04 -9.75118710e-01  2.14915713e-01]
 [ 6.99975960e-04 -5.38148172e-03 -2.14915858e-01 -9.75089394e-01]]","[0.9663427992682729, 0.8667156826414136]"
0,60,5610,7560,"[[0.9141544606270365, -0.0520310708914361, -0.005359344843768015, 0.0007436966694125131], [-0.05203155182924379, 0.914123654138407, -0.0003396897284920286, -0.005194403295998094], [0.005361869311225444, 0.0004497115600593767, -0.8924175243442597, 0.1912103018396077], [0.0006899070446278223, -0.005181208987894433, -0.1912104581753134, -0.8923867220066918]]","[[ 1.00000000e+00 -5.69171547e-02 -5.86262505e-03  8.13535022e-04]
 [-5.69176808e-02  9.99966301e-01 -3.71588985e-04 -5.68219433e-03]
 [ 5.86538659e-03  4.91942641e-04 -9.76221812e-01  2.09166295e-01]
 [ 7.54694173e-04 -5.66776099e-03 -2.09166466e-01 -9.76188117e-01]]","[0.9661855309924846, 0.8621233892662632]"
0,60,5680,7560,"[[0.9088406682177825, -0.05668095091236325, -0.006102168267260351, 0.000837134212920667], [-0.0566814997682783, 0.908798087750779, -0.000383563412415367, -0.006274850960845415], [0.006102568316795787, 0.0005030178917504163, -0.8885644160638672, 0.1822936081630505], [0.0007960474481143983, -0.006261439836104235, -0.182293885253216, -0.8885218400360057]]","[[ 1.00000000e+00 -6.23662132e-02 -6.71423329e-03  9.21101181e-04]
 [-6.23668171e-02  9.99953149e-01 -4.22035925e-04 -6.90423655e-03]
 [ 6.71467346e-03  5.53472032e-04 -9.77689981e-01  2.00578181e-01]
 [ 8.75893296e-04 -6.88948025e-03 -2.00578486e-01 -9.77643135e-01]]","[0.9655216186045198, 0.8521597168415069]"
0,60,5750,7560,"[[0.859837804377056, -0.08102733068450801, -0.03899041650645706, 0.007048922392121938], [-0.08102786369695752, 0.8581491521255968, -0.003052042087359284, -0.03635813626097562], [0.03897573191829333, 0.00314469816322837, -0.8244159764352463, 0.2302893787872358], [0.007123610758202014, -0.03634905128474131, -0.2302931111618976, -0.8227273283926881]]","[[ 1.         -0.0942356  -0.04534625  0.00819797]
 [-0.09423622  0.99803608 -0.00354956 -0.04228488]
 [ 0.04532917  0.00365732 -0.95880406  0.26782886]
 [ 0.00828483 -0.04227431 -0.2678332  -0.95684014]]","[0.9408651345493607, 0.7788104732685663]"
0,60,5820,7560,"[[0.9208166343957482, -0.04984413762704737, -0.002588906701465023, 0.0001186848454431733], [-0.04984390806870226, 0.9207815317130652, 0.0009403585542396235, 0.007551248480854445], [0.002595292517786812, -0.0009365466190912304, -0.8954943112239321, 0.2085855138531581], [6.216889370002157e-05, 0.007553237218782599, -0.2085854173459909, -0.8954592094245356]]","[[ 1.00000000e+00 -5.41303619e-02 -2.81153338e-03  1.28890857e-04]
 [-5.41301126e-02  9.99961879e-01  1.02122238e-03  8.20059955e-03]
 [ 2.81846833e-03 -1.01708265e-03 -9.72500146e-01  2.26522313e-01]
 [ 6.75149551e-05  8.20275931e-03 -2.26522208e-01 -9.72462026e-01]]","[0.9706607714943712, 0.8709724962945465]"
0,60,5890,7560,"[[0.924010821450407, -0.0477965497721165, -0.001904580779817763, 0.0001663430268333144], [-0.04779646699397572, 0.9240040139617622, 0.0003892615451057889, 0.002960710133631798], [0.001911398141929148, -0.0003620058216891467, -0.9007183677148076, 0.2005437043270191], [9.781668907490795e-05, 0.00296550060582624, -0.2005435884139834, -0.9007115617164534]]","[[ 1.00000000e+00 -5.17272619e-02 -2.06121047e-03  1.80022812e-04]
 [-5.17271723e-02  9.99992633e-01  4.21273795e-04  3.20419422e-03]
 [ 2.06858848e-03 -3.91776604e-04 -9.74792012e-01  2.17036099e-01]
 [ 1.05860978e-04  3.20937865e-03 -2.17035974e-01 -9.74784646e-01]]","[0.9718073706934749, 0.8762142712012825]"
0,60,5960,7560,"[[0.9251506495104911, -0.0470858675804911, -0.001794125168696332, 0.0001909334428226858], [-0.04708584477550221, 0.9251477335370302, 0.0002186253944061914, 0.001445730137859969], [0.001800948690627756, -0.0001835508544412945, -0.9030610489421832, 0.1953646376187098], [0.0001186258787720056, 0.00145134054008018, -0.1953645387338182, -0.9030581347350978]]","[[ 1.00000000e+00 -5.08953516e-02 -1.93927894e-03  2.06380921e-04]
 [-5.08953269e-02  9.99996848e-01  2.36313291e-04  1.56269699e-03]
 [ 1.94665452e-03 -1.98401044e-04 -9.76123239e-01  2.11170621e-01]
 [ 1.28223310e-04  1.56876130e-03 -2.11170515e-01 -9.76120089e-01]]","[0.9722365165617003, 0.8780647814519852]"
