azi,aoi,wvl,pitch,mm,dmm,reflected flux
22,60,4500,7560,"[[0.9067604544141934, -0.0489269187382968, -0.003326616137240449, 0.0007431300835086868], [-0.04892684336630104, 0.9067026959335824, -0.001306830955637031, -0.009560809399969204], [0.003329273834778053, 0.001246573724825585, -0.8690679526117188, 0.2540462232674517], [0.0007361578716364994, -0.00956923784379253, -0.254045885630959, -0.8690101951671497]]","[[ 1.00000000e+00 -5.39579318e-02 -3.66868242e-03  8.19543993e-04]
 [-5.39578487e-02  9.99936302e-01 -1.44120859e-03 -1.05439197e-02]
 [ 3.67161340e-03  1.37475528e-03 -9.58431688e-01  2.80169059e-01]
 [ 8.11854849e-04 -1.05532148e-02 -2.80168687e-01 -9.58367991e-01]]","[0.0006341986153506047, 0.0005692623506496405]"
22,60,4550,7560,"[[0.9073729865980309, -0.0496160537739872, -0.003755344619549445, 0.0007974547315353102], [-0.04961600467383848, 0.9073125207534602, -0.001265039516232983, -0.00966347490735103], [0.003757919499188016, 0.001218304574755339, -0.8714777230050018, 0.2477669499094045], [0.0007883277280893884, -0.009669730013531365, -0.247766676659146, -0.8714172577977907]]","[[ 1.00000000e+00 -5.46809906e-02 -4.13870004e-03  8.78861001e-04]
 [-5.46809365e-02  9.99933362e-01 -1.39417807e-03 -1.06499478e-02]
 [ 4.14153777e-03  1.34267230e-03 -9.60440454e-01  2.73059650e-01]
 [ 8.68802289e-04 -1.06568414e-02 -2.73059349e-01 -9.60373816e-01]]","[0.0006350624078118867, 0.0005692115166384967]"
22,60,4600,7560,"[[0.9078765404543836, -0.05017121399771279, -0.004062580516010791, 0.0008276860118537647], [-0.05017118884727595, 0.9078157959545079, -0.001205847584058183, -0.009573249514598928], [0.004064893442415245, 0.001171518127894319, -0.8734721829893073, 0.2424189943397601], [0.0008177955370102484, -0.009577642903972667, -0.2424187872356009, -0.8734114388476928]]","[[ 1.00000000e+00 -5.52621549e-02 -4.47481605e-03  9.11672430e-04]
 [-5.52621272e-02  9.99933092e-01 -1.32820657e-03 -1.05446601e-02]
 [ 4.47736367e-03  1.29039366e-03 -9.62104586e-01  2.67017577e-01]
 [ 9.00778355e-04 -1.05494993e-02 -2.67017349e-01 -9.62037678e-01]]","[0.0006357649754323241, 0.0005691772704114873]"
22,60,4650,7560,"[[0.908217246426827, -0.05062213782704128, -0.004226093284267719, 0.0008304018562953009], [-0.05062213353802369, 0.9081591556734467, -0.001124124613968774, -0.009257491644266081], [0.00422780054829605, 0.001103757730104489, -0.8751066911506564, 0.2376601598016728], [0.0008219297126695604, -0.009259965486063726, -0.2376600339748079, -0.8750486005337077]]","[[ 1.00000000e+00 -5.57379174e-02 -4.65317445e-03  9.14320731e-04]
 [-5.57379126e-02  9.99936039e-01 -1.23772657e-03 -1.01930366e-02]
 [ 4.65505424e-03  1.21530144e-03 -9.63543353e-01  2.61677656e-01]
 [ 9.04992408e-04 -1.01957605e-02 -2.61677517e-01 -9.63479392e-01]]","[0.0006362903046751898, 0.0005691041293256183]"
22,60,4700,7560,"[[0.9087103162223005, -0.05092078121146282, -0.004601796630998464, 0.0008188882285903921], [-0.05092090805152638, 0.908668266595124, -0.0008163391263285693, -0.007342989154228327], [0.004602972126327782, 0.0008422160483924886, -0.876691938151166, 0.2336051997382751], [0.000804263739018255, -0.007339186181708246, -0.2336052684399471, -0.876649888771416]]","[[ 1.00000000e+00 -5.60363191e-02 -5.06409639e-03  9.01154322e-04]
 [-5.60364586e-02  9.99953726e-01 -8.98349135e-04 -8.08067106e-03]
 [ 5.06538998e-03  9.26825671e-04 -9.64765033e-01  2.57073344e-01]
 [ 8.85060645e-04 -8.07648604e-03 -2.57073420e-01 -9.64718759e-01]]","[0.0006368156892481674, 0.0005692331516022964]"
22,60,4750,7560,"[[0.9097386716099214, -0.05210821370950214, -0.005378919137129692, 0.001070621341358864], [-0.05210807323016675, 0.9096314849295303, -0.001523427997504777, -0.01275138318941891], [0.005383986685395706, 0.001432175188282253, -0.8788567916797319, 0.2291654022550436], [0.001051821632486289, -0.01276252798515155, -0.2291646947984736, -0.8787496074261121]]","[[ 1.         -0.05727822 -0.0059126   0.00117684]
 [-0.05727807  0.99988218 -0.00167458 -0.01401653]
 [ 0.00591817  0.00157427 -0.96605412  0.25190245]
 [ 0.00115618 -0.01402878 -0.25190167 -0.9659363 ]]","[0.0006382860964634067, 0.0005691275872870239]"
22,60,4800,7560,"[[0.9104195415657921, -0.0524228192354918, -0.00604677212170376, 0.001102114181531084], [-0.0524228370962237, 0.9103308880968717, -0.001242692464336494, -0.0110496751502674], [0.006052309253769233, 0.001190065481483412, -0.880419985535262, 0.2257735034078427], [0.001070415264054321, -0.01105538226462445, -0.2257730715079392, -0.8803313331202068]]","[[ 1.         -0.05758095 -0.00664174  0.00121056]
 [-0.05758097  0.99990262 -0.00136497 -0.0121369 ]
 [ 0.00664782  0.00130716 -0.96704865  0.24798842]
 [ 0.00117574 -0.01214317 -0.24798795 -0.96695127]]","[0.0006389466986539839, 0.0005693706420775424]"
22,60,4850,7560,"[[0.910708683756895, -0.05280863119030205, -0.006357276840955512, 0.001113511083285703], [-0.05280870011772415, 0.9106255005055459, -0.001124394445269647, -0.01042077926724568], [0.006362745694444989, 0.001086367080793748, -0.8815795593143658, 0.2222986396824869], [0.001078454015058863, -0.01042446305766411, -0.2222982941259564, -0.881496376809326]]","[[ 1.         -0.0579863  -0.00698058  0.00122269]
 [-0.05798638  0.99990866 -0.00123464 -0.01144249]
 [ 0.00698659  0.00119288 -0.96801488  0.24409413]
 [ 0.00118419 -0.01144654 -0.24409375 -0.96792354]]","[0.0006393946013853461, 0.0005693064915697392]"
22,60,4900,7560,"[[0.9108861873883577, -0.05323535300880111, -0.006614603130287832, 0.001123914345761587], [-0.05323545124238072, 0.9108056817812655, -0.001042476252547293, -0.0100281580614581], [0.006619964311150594, 0.001013291573265818, -0.8825814182727922, 0.2189234219862132], [0.001087093160081325, -0.0100306276983069, -0.2189231229092057, -0.8825009132811683]]","[[ 1.         -0.05844347 -0.00726172  0.00123387]
 [-0.05844358  0.99991162 -0.00114446 -0.01100923]
 [ 0.00726761  0.00111242 -0.96892612  0.24034114]
 [ 0.00119345 -0.01101194 -0.24034081 -0.96883774]]","[0.0006397955682229228, 0.0005691411092139825]"
22,60,4950,7560,"[[0.9109779472729899, -0.05370321453511817, -0.006856299378714237, 0.001134677686085143], [-0.05370333292151364, 0.9108989092289261, -0.0009761979372966377, -0.009734526270046881], [0.006861548689854138, 0.0009532760521918549, -0.883453282078132, 0.2156500853982016], [0.001096708131010091, -0.009736144689215461, -0.2156498158956271, -0.8833742445822048]]","[[ 1.         -0.05895117 -0.00752631  0.00124556]
 [-0.0589513   0.99991324 -0.00107159 -0.0106858 ]
 [ 0.00753207  0.00104643 -0.96978559  0.23672372]
 [ 0.00120388 -0.01068757 -0.23672342 -0.96969882]]","[0.0006401669356113755, 0.0005688915264036531]"
