azi,aoi,wvl,pitch,mm,dmm,reflected flux
0,60,3250,7560,"[[0.7733053179029425, -0.08043493244891142, 0.01020613694558498, -0.00256378779299099], [-0.08043281315057449, 0.7730663990774457, 0.002274843303071433, 0.01591236111969849], [-0.01021436296138567, -0.002015952864728283, -0.7261659929850228, 0.253384723052793], [-0.002597297679956719, 0.01595791368726272, -0.2533821995545169, -0.7259270968868801]]","[[ 1.         -0.10401446  0.01319807 -0.00331536]
 [-0.10401172  0.99969104  0.00294171  0.02057707]
 [-0.01320871 -0.00260693 -0.93904177  0.32766453]
 [-0.0033587   0.02063598 -0.32766127 -0.93873284]]","[0.8537402498870809, 0.6928703850768356]"
0,60,3275,7560,"[[0.7733166353326895, -0.08167005474516209, 0.009940488519100423, -0.002518481949595794], [-0.08166782444869358, 0.7730534392066007, 0.002369025868771016, 0.0172007550510845], [-0.009946364205767059, -0.002116247657988931, -0.729638997594702, 0.2428267889311794], [-0.002567137376568075, 0.01724424674027547, -0.2428242137726285, -0.7293758235170951]]","[[ 1.         -0.10561011  0.01285436 -0.00325673]
 [-0.10560723  0.99965965  0.00306346  0.02224284]
 [-0.01286196 -0.00273659 -0.94351908  0.31400694]
 [-0.00331965  0.02229908 -0.31400361 -0.94317876]]","[0.8549866896124002, 0.6916465802109979]"
0,60,3300,7560,"[[0.7733899524612028, -0.08309444220748996, 0.009198944644857543, -0.002436444464847382], [-0.08309200422915775, 0.7730823868146295, 0.002576491621790266, 0.01944328811428179], [-0.009201331387150173, -0.002331665347958595, -0.7339236429527299, 0.2292860430749181], [-0.002509482789105325, 0.01948456459438568, -0.2292833268828196, -0.7336160989631705]]","[[ 1.         -0.10744184  0.01189432 -0.00315034]
 [-0.10743869  0.99960231  0.00333143  0.02514034]
 [-0.0118974  -0.00301486 -0.94896972  0.29646887]
 [-0.00324478  0.02519371 -0.29646536 -0.94857206]]","[0.8564843942024261, 0.6902955098779188]"
0,60,3325,7560,"[[0.7776701204828563, -0.08106222409473829, 0.006038281407104163, -0.002073384038938308], [-0.08105915856794343, 0.7772296616526678, 0.003126579118398494, 0.0251761214437261], [-0.006032115718676404, -0.002909861074407301, -0.7465885359017144, 0.2019714077329168], [-0.002206882670958319, 0.02521194724536514, -0.2019683533586704, -0.7461480983301625]]","[[ 1.         -0.10423729  0.00776458 -0.00266615]
 [-0.10423335  0.99943362  0.00402044  0.03237378]
 [-0.00775665 -0.00374177 -0.96003243  0.25971347]
 [-0.00283781  0.03241985 -0.25970955 -0.95946608]]","[0.8587323441101036, 0.6966078960088867]"
0,60,3350,7560,"[[0.7511935066496469, -0.1340065182508897, 0.01340500749288318, -0.005078889558100711], [-0.1340009343025559, 0.7503715067671008, 0.004137656424799374, 0.0317833317822154], [-0.01346165336766982, -0.003528042371098561, -0.7019521591016339, 0.23143116366387], [-0.005076393740090758, 0.03188024210485062, -0.2314177791605229, -0.701130287164227]]","[[ 1.         -0.17839148  0.01784495 -0.00676109]
 [-0.17838404  0.99890574  0.00550811  0.04231045]
 [-0.01792035 -0.00469658 -0.93444918  0.30808462]
 [-0.00675777  0.04243945 -0.3080668  -0.9333551 ]]","[0.8852000244186369, 0.6171869880627632]"
0,60,3375,7560,"[[0.7349062578990819, -0.1257695698427231, 0.03759981303052631, -0.009667846543068338], [-0.1257645097971893, 0.7331867902798275, 0.00251696747184893, 0.03177290296045925], [-0.03764448701107109, -0.002235382440707326, -0.6778728384925194, 0.2542882917199739], [-0.009559213789869618, 0.03181396434003726, -0.2542790507550087, -0.6761534031508534]]","[[ 1.         -0.17113689  0.05116273 -0.01315521]
 [-0.17113     0.99766029  0.00342488  0.04323395]
 [-0.05122352 -0.00304172 -0.92239361  0.3460146 ]
 [-0.01300739  0.04328983 -0.34600202 -0.92005395]]","[0.8606758272732562, 0.6091366877247469]"
0,60,3400,7560,"[[0.7493380896150075, -0.1020257573172562, 0.03730466033856807, -0.007544374685634134], [-0.1020186028152023, 0.7481720228065467, 0.0004339718926725453, 0.0172044586563658], [-0.03733289191825073, -0.0001363363962281518, -0.7007340425080977, 0.2449801829147875], [-0.007501352490520485, 0.01725175288030036, -0.2449755358009615, -0.6995680069086294]]","[[ 1.00000000e+00 -1.36154506e-01  4.97834834e-02 -1.00680518e-02]
 [-1.36144958e-01  9.98443871e-01  5.79140309e-04  2.29595411e-02]
 [-4.98211587e-02 -1.81942434e-04 -9.35137360e-01  3.26928774e-01]
 [-1.00106382e-02  2.30226558e-02 -3.26922572e-01 -9.33581272e-01]]","[0.8513638464687842, 0.6473123319453565]"
0,60,3425,7560,"[[0.7578291285113947, -0.09348366629759502, 0.03117008451170452, -0.00598414421849656], [-0.09347906063873551, 0.7569992101625578, 0.0006494378992632933, 0.01576441648093187], [-0.03120102526239021, -0.0003865110792194582, -0.7150026658110428, 0.2330299347189489], [-0.005894171664446706, 0.01580032570216915, -0.2330252095533645, -0.7141727736936848]]","[[ 1.00000000e+00 -1.23357183e-01  4.11307554e-02 -7.89642941e-03]
 [-1.23351105e-01  9.98904874e-01  8.56971413e-04  2.08020725e-02]
 [-4.11715835e-02 -5.10024047e-04 -9.43487970e-01  3.07496672e-01]
 [-7.77770535e-03  2.08494568e-02 -3.07490437e-01 -9.42392878e-01]]","[0.8513127943455383, 0.6643454618521331]"
0,60,3450,7560,"[[0.7330678609580508, -0.07248660581078664, 0.0619156644987278, -0.00804487463824866], [-0.07248512482718511, 0.7303681168793357, -0.002248955468683506, 0.006881903517571019], [-0.06196879622132336, 0.002328425012249963, -0.708349232142683, 0.1741033793305956], [-0.007638881717896632, 0.006871065015218654, -0.1740855199661073, -0.7056495475425222]]","[[ 1.         -0.09888117  0.08446103 -0.01097426]
 [-0.09887915  0.9963172  -0.00306787  0.00938781]
 [-0.08453351  0.00317627 -0.96628057  0.23749968]
 [-0.01042043  0.00937303 -0.23747531 -0.96259785]]","[0.8055544663302966, 0.6605812547876466]"
0,60,3475,7560,"[[0.769660830875198, -0.1026247715387072, 0.02518148043813596, -0.005307578359421821], [-0.1026253494080524, 0.7685083988377954, 0.002292827104164891, 0.03324484480026948], [-0.02517713863570319, -0.002339890525901236, -0.7405173202647302, 0.1828829820272569], [-0.005316994213201412, 0.0332397813846211, -0.1828841758980268, -0.7393648889906095]]","[[ 1.         -0.13333766  0.03271763 -0.006896  ]
 [-0.13333841  0.99850268  0.00297901  0.04319415]
 [-0.03271199 -0.00304016 -0.96213461  0.23761503]
 [-0.00690823  0.04318757 -0.23761658 -0.96063728]]","[0.8722856019390359, 0.6670360589733586]"
0,60,3500,7560,"[[0.746905832918668, -0.1132904220991618, 0.04431279310476707, -0.0081389809827098], [-0.1132884759979203, 0.7436225497228897, 0.001463642430587567, 0.05349184005748301], [-0.04428816078035475, -0.001591810384472363, -0.7256215089619955, 0.1357794900604037], [-0.008298578453636175, 0.05349230119442189, -0.1357889685491355, -0.7223382400246983]]","[[ 1.         -0.15167966  0.05932849 -0.01089693]
 [-0.15167705  0.99560415  0.00195961  0.07161792]
 [-0.05929551 -0.00213121 -0.97150334  0.1817893 ]
 [-0.01111061  0.07161853 -0.18180199 -0.96710751]]","[0.8601962545495421, 0.6336154104745675]"
0,60,3525,7560,"[[0.7252953418758892, -0.1157519841172692, 0.0968603944808123, -0.006946703712896359], [-0.1157385112461272, 0.7128945223519265, -0.00817106913799065, 0.09129433182599953], [-0.09684144816920388, 0.007924287082437323, -0.7159119733896209, -0.00318379073551851], [-0.007419263410836659, 0.0913331588759706, 0.003135986898028343, -0.7035112533242069]]","[[ 1.         -0.1595929   0.13354614 -0.00957776]
 [-0.15957432  0.98290239 -0.01126585  0.12587194]
 [-0.13352002  0.0109256  -0.98706269 -0.00438965]
 [-0.0102293   0.12592547  0.00432374 -0.96996522]]","[0.841047325535295, 0.609543357426787]"
0,60,3550,7560,"[[0.5829895007128645, -0.2533372921563733, 0.05705957674763747, -0.005736711988699267], [-0.2533452066353506, 0.57777405581775, -0.02773310645560327, -0.04472223313508368], [-0.05698153353524686, 0.02791566928940008, -0.4277741348392459, 0.3031256658812291], [-0.006148159972505247, -0.04456353453673315, -0.3031571025866406, -0.4225587906944601]]","[[ 1.         -0.43454864  0.09787411 -0.00984016]
 [-0.43456221  0.99105396 -0.04757051 -0.0767119 ]
 [-0.09774024  0.04788366 -0.73375959  0.51995047]
 [-0.01054592 -0.07643969 -0.52000439 -0.72481372]]","[0.8363267924139449, 0.32965220837702963]"
