Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
490.000000	1.580029	0.000000	
491.000000	1.579889	0.000000	
492.000000	1.579751	0.000000	
493.000000	1.579613	0.000000	
494.000000	1.579476	0.000000	
495.000000	1.579340	0.000000	
496.000000	1.579205	0.000000	
497.000000	1.579071	0.000000	
498.000000	1.578938	0.000000	
499.000000	1.578805	0.000000	
500.000000	1.578674	0.000000	
501.000000	1.578543	0.000000	
502.000000	1.578413	0.000000	
503.000000	1.578285	0.000000	
504.000000	1.578156	0.000000	
505.000000	1.578029	0.000000	
506.000000	1.577903	0.000000	
507.000000	1.577777	0.000000	
508.000000	1.577652	0.000000	
509.000000	1.577528	0.000000	
510.000000	1.577405	0.000000	
511.000000	1.577283	0.000000	
512.000000	1.577161	0.000000	
513.000000	1.577040	0.000000	
514.000000	1.576920	0.000000	
515.000000	1.576801	0.000000	
516.000000	1.576682	0.000000	
517.000000	1.576564	0.000000	
518.000000	1.576447	0.000000	
519.000000	1.576331	0.000000	
520.000000	1.576215	0.000000	
521.000000	1.576100	0.000000	
522.000000	1.575986	0.000000	
523.000000	1.575873	0.000000	
524.000000	1.575760	0.000000	
525.000000	1.575648	0.000000	
526.000000	1.575537	0.000000	
527.000000	1.575426	0.000000	
528.000000	1.575316	0.000000	
529.000000	1.575207	0.000000	
530.000000	1.575098	0.000000	
531.000000	1.574990	0.000000	
532.000000	1.574883	0.000000	
533.000000	1.574776	0.000000	
534.000000	1.574670	0.000000	
535.000000	1.574565	0.000000	
536.000000	1.574460	0.000000	
537.000000	1.574356	0.000000	
538.000000	1.574252	0.000000	
539.000000	1.574149	0.000000	
540.000000	1.574047	0.000000	
541.000000	1.573945	0.000000	
542.000000	1.573844	0.000000	
543.000000	1.573744	0.000000	
544.000000	1.573644	0.000000	
545.000000	1.573545	0.000000	
546.000000	1.573446	0.000000	
547.000000	1.573348	0.000000	
548.000000	1.573251	0.000000	
549.000000	1.573154	0.000000	
550.000000	1.573057	0.000000	
551.000000	1.572961	0.000000	
552.000000	1.572866	0.000000	
553.000000	1.572772	0.000000	
554.000000	1.572677	0.000000	
555.000000	1.572584	0.000000	
556.000000	1.572491	0.000000	
557.000000	1.572398	0.000000	
558.000000	1.572306	0.000000	
559.000000	1.572215	0.000000	
560.000000	1.572124	0.000000	
561.000000	1.572034	0.000000	
562.000000	1.571944	0.000000	
563.000000	1.571854	0.000000	
564.000000	1.571765	0.000000	
565.000000	1.571677	0.000000	
566.000000	1.571589	0.000000	
567.000000	1.571502	0.000000	
568.000000	1.571415	0.000000	
569.000000	1.571329	0.000000	
570.000000	1.571243	0.000000	
571.000000	1.571157	0.000000	
572.000000	1.571072	0.000000	
573.000000	1.570988	0.000000	
574.000000	1.570904	0.000000	
575.000000	1.570820	0.000000	
576.000000	1.570737	0.000000	
577.000000	1.570655	0.000000	
578.000000	1.570572	0.000000	
579.000000	1.570491	0.000000	
580.000000	1.570410	0.000000	
581.000000	1.570329	0.000000	
582.000000	1.570248	0.000000	
583.000000	1.570168	0.000000	
584.000000	1.570089	0.000000	
585.000000	1.570010	0.000000	
586.000000	1.569931	0.000000	
587.000000	1.569853	0.000000	
588.000000	1.569775	0.000000	
589.000000	1.569698	0.000000	
590.000000	1.569621	0.000000	
591.000000	1.569545	0.000000	
592.000000	1.569469	0.000000	
593.000000	1.569393	0.000000	
594.000000	1.569318	0.000000	
595.000000	1.569243	0.000000	
596.000000	1.569168	0.000000	
597.000000	1.569094	0.000000	
598.000000	1.569021	0.000000	
599.000000	1.568947	0.000000	
600.000000	1.568874	0.000000	
601.000000	1.568802	0.000000	
602.000000	1.568730	0.000000	
603.000000	1.568658	0.000000	
604.000000	1.568586	0.000000	
605.000000	1.568515	0.000000	
606.000000	1.568445	0.000000	
607.000000	1.568375	0.000000	
608.000000	1.568305	0.000000	
609.000000	1.568235	0.000000	
610.000000	1.568166	0.000000	
611.000000	1.568097	0.000000	
612.000000	1.568029	0.000000	
613.000000	1.567961	0.000000	
614.000000	1.567893	0.000000	
615.000000	1.567825	0.000000	
616.000000	1.567758	0.000000	
617.000000	1.567692	0.000000	
618.000000	1.567625	0.000000	
619.000000	1.567559	0.000000	
620.000000	1.567494	0.000000	
621.000000	1.567428	0.000000	
622.000000	1.567363	0.000000	
623.000000	1.567299	0.000000	
624.000000	1.567234	0.000000	
625.000000	1.567170	0.000000	
626.000000	1.567106	0.000000	
627.000000	1.567043	0.000000	
